일자,도로명,위치,지점,시간,mean
2021-08-10,정안세종로,은하수공원(세종),수산IC교 북서 ~ 모개고가차도,점유율,2.1826
2021-08-10,조치원로,공영버스터미널 앞,조치원로1 ~ 상리사거리,점유율,4.4842
2021-08-10,지방도604호선,연동면 송용리 세종방면,예양교차로남측 ~ 문주1교북측,점유율,1.9218
2021-08-10,지방도96호선,갈매로(대전),장남교차로 ~ 금남교앞,점유율,4.6903
2021-08-10,지방도96호선,부강교차로 세종방면,부강교차로2 ~ 부강교차로1,점유율,2.9285
2021-08-10,지방도96호선,세종이마트(공주),e마트남측교차로 ~ -,점유율,2.7317
2021-08-10,지방도96호선,장군면 금암리,송암교 ~ -,점유율,2.0158
2021-08-10,청연로,우리한식뷔페 앞,연동중학교입구 ~ 응암삼거리,점유율,4.8116
2021-08-10,충현로,153자동차정비소 앞,조치원교 ~ 조치원지하차도앞,점유율,3.4748
2021-08-10,평기길,장군면 평기리,송학사거리 ~ 송문리,점유율,3.6485
2021-08-10,한누리대로,국세청맞은편,한누리대로지하4남측 ~ 한누리대로지하5북측,점유율,5.1558
2021-08-10,한누리대로,라온프라이빗시티앞,한누리대로고가2남측 ~ 노드_146,점유율,5.6511
2021-08-10,한누리대로,반곡동(공주),4-1생활권(한누리대로) ~ 반곡동(한누리대로),점유율,2.2332
2021-08-10,한누리대로,세종 교육청(공주),교육청앞 ~ 여울초교앞,점유율,4.5127
2021-08-10,한누리대로,양지초교북측(세종),한누리대로고가2북측 ~ 양지초교사거리,점유율,5.2638
2021-08-11,갈매로,기쁨뜰공원(청사),금사교고가차도동편 ~ 갈매로교차로1,점유율,2.4683
2021-08-11,갈매로,제3주차장(서측),노드_069 ~ 노드_070,점유율,3.5932
2021-08-11,당산로,연서면 봉암리,월암교남측 ~ 연서치안센터,점유율,4.2519
2021-08-11,산학리길,장군면 산학리,- ~ 송악교,점유율,1.5755
2021-08-11,새내로,서울외과 앞,마음그린한의원 ~ 새내4길시점,점유율,4.0815
2021-08-11,새내로,조치원여중 앞,조치원여자중학교 ~ 조치원읍사무소,점유율,3.9658
2021-08-11,시목부강로,시목교교차로 앞,- ~ 시목교(북측),점유율,2.5679
2021-08-11,시청대로,세종 시청(공주),시청입구 ~ 교육청후문,점유율,5.2135
2021-08-11,연청로,문곡리 세종방면,문곡교차로 ~ 부강터널,점유율,4.1743
2021-08-11,용연로,연서면 와촌리,세종-공주경계 ~ 와룡로입구,점유율,3.3806
2021-08-11,일반국도1호선,산동교차로 대전방면,세종로교차로1 ~ 두만2리교차로2,점유율,3.366
2021-08-11,일반국도36호선,다름고개(세종),다정동 ~ 올망초등학교,점유율,4.6622
2021-08-11,정안세종로,은하수공원(세종),수산IC교 북서 ~ 모개고가차도,점유율,1.6533
2021-08-11,조치원로,공영버스터미널 앞,조치원로1 ~ 상리사거리,점유율,5.2954
2021-08-11,지방도604호선,연동면 송용리 세종방면,예양교차로남측 ~ 문주1교북측,점유율,2.8381
2021-08-11,지방도96호선,갈매로(대전),장남교차로 ~ 금남교앞,점유율,4.1717
2021-08-11,지방도96호선,부강교차로 세종방면,부강교차로2 ~ 부강교차로1,점유율,2.2114
2021-08-11,지방도96호선,세종이마트(공주),e마트남측교차로 ~ -,점유율,4.0512
2021-08-11,지방도96호선,장군면 금암리,송암교 ~ -,점유율,1.9702
